name,z,gsmass
Neutron,0,939565.42052
1H,1,938272.08816
2H,1,1875612.94248
3H,1,2808921.133
4H,1,3750086.5533200004
5H,1,4689851.97424
6H,1,5630329.353759999
7H,1,6569084.61128
3He,2,2808391.5555200004
4He,2,3727379.35496
5He,2,4667679.7753800005
6He,2,5605534.739
7He,2,6545509.87432
8He,2,7482540.531440001
9He,2,8423360.77796
10He,2,9363116.200480001
3Li,3,2821617.2644800004
4Li,3,3749766.6438000007
5Li,3,4667616.443020001
6Li,3,5601518.5388400005
7Li,3,6533832.865860001
8Li,3,7471365.667880001
9Li,3,8406868.8711
10Li,3,9346460.69612
11Li,3,10285630.42994
12Li,3,11225405.85036
13Li,3,12164871.27058
5Be,4,4692563.77316
6Be,4,5605295.70688
7Be,4,6534183.7733
8Be,4,7454850.54992
9Be,4,8392751.43154
10Be,4,9325504.56976
11Be,4,10264568.35408
12Be,4,11200963.0492
13Be,4,12141038.47062
14Be,4,13078827.99564
15Be,4,14020193.41636
16Be,4,14959308.837280001
6B,5,5633727.86132
7B,5,6545580.34334
8B,5,7472319.461560001
9B,5,8393308.481180001
10B,5,9324436.7084
11B,5,10252547.908620002
12B,5,11188743.700040001
13B,5,12123430.352760002
14B,5,13062026.194079999
15B,5,13998813.989
16B,5,14938462.41052
17B,5,15876561.13614
18B,5,16816131.55676
19B,5,17755603.27068
20B,5,18696728.6906
21B,5,19637204.11262
8C,6,7483951.176400001
9C,6,8409291.980820002
10C,6,9327573.78504
11C,6,10254018.61226
12C,6,11174863.316880003
13C,6,12109482.429100001
14C,6,13040871.415920002
15C,6,13979218.76964
16C,6,14914533.86056
17C,6,15853365.709280001
18C,6,16788747.1974
19C,6,17727735.78972
20C,6,18664319.704239998
21C,6,19603959.83676
22C,6,20543415.54568
23C,6,21485473.6778
10N,7,9350164.15468
11N,7,10267223.8739
12N,7,11191690.39972
13N,7,12111191.916040001
14N,7,13040203.95356
15N,7,13968936.07678
16N,7,14906012.6482
17N,7,15839692.922519999
18N,7,16776430.11424
19N,7,17710667.30456
20N,7,18648071.64988
21N,7,19583031.1705
22N,7,20521058.16152
23N,7,21457507.887140002
24N,7,22399228.76596
25N,7,23339757.18648
11O,8,10290086.15764
12O,8,11205854.68136
13O,8,12128450.88108
14O,8,13044837.3322
15O,8,13971179.27642
16O,8,14895080.75424
17O,8,15830503.09526
18O,8,16762023.14468
19O,8,17697632.9222
20O,8,18629590.33752
21O,8,19565350.30334
22O,8,20498065.40416
23O,8,21434897.84428
24O,8,22370270.9816
25O,8,23310593.70912
26O,8,24249419.82064
27O,8,25190924.69516
28O,8,26129821.11568
13F,9,12146849.475520002
14F,9,13068282.96864
15F,9,13984379.42106
16F,9,14909981.95308
17F,9,15832752.5748
18F,9,16763168.088720001
19F,9,17692301.633840002
20F,9,18625265.71716
21F,9,19556729.67828
22F,9,20491064.761400003
23F,9,21423050.75262
24F,9,22358804.106840003
25F,9,23294087.85926
26F,9,24232922.450080004
27F,9,25170875.375400003
28F,9,26110639.795720004
29F,9,27048880.293240003
30F,9,27989172.624360003
31F,9,28928547.044880003
15Ne,10,14007517.0567
16Ne,10,14922782.56152
17Ne,10,15846790.340540001
18Ne,10,16767101.607160002
19Ne,10,17695030.14738
20Ne,10,18617730.2628
21Ne,10,19550534.521720003
22Ne,10,20479735.68464
23Ne,10,21414100.458060004
24Ne,10,22344796.964080002
25Ne,10,23280207.204400003
26Ne,10,24214217.92392
27Ne,10,25152281.822740003
28Ne,10,26088024.754559997
29Ne,10,27026618.91978
30Ne,10,27962993.341
31Ne,10,28902388.91632
32Ne,10,29839688.13304
33Ne,10,30780337.55356
34Ne,10,31718532.97408
17Na,11,15864498.482780002
18Na,11,16786310.996600002
19Na,11,17705696.49232
